EN2006a, length = 3525.49 s, percent_of_speech = 0.71, percent_of_noises = 0.50
noise: Computer_473_2, start: 1822.0681 s end: 1829.9746 s, duration: 7.9065 s, snr: 6.07
noise: Computer_749_3, start: 1825.0805 s end: 1828.0980 s, duration: 3.0175 s, snr: 3.57
noise: Telephone_382_1, start: 1853.6582 s end: 1866.1543 s, duration: 12.4961 s, snr: 1.67
noise: Telephone_290_2, start: 1901.0628 s end: 1916.8232 s, duration: 15.7604 s, snr: 6.77
noise: Drawer_121_0, start: 1902.8671 s end: 1907.4801 s, duration: 4.6130 s, snr: 4.93
noise: Drawer_29_1, start: 1914.7189 s end: 1918.2554 s, duration: 3.5365 s, snr: 5.30
noise: Squeak_157_1, start: 1920.2296 s end: 1929.0409 s, duration: 8.8114 s, snr: -0.98
noise: Telephone_659_4, start: 1961.4639 s end: 1992.0017 s, duration: 30.5377 s, snr: 8.71
noise: Telephone_548_1, start: 1984.6940 s end: 1992.7854 s, duration: 8.0914 s, snr: 5.02
noise: Squeak_4_1, start: 1997.3812 s end: 2013.0684 s, duration: 15.6871 s, snr: 13.99
noise: Writing_231_0, start: 2012.0021 s end: 2026.4083 s, duration: 14.4062 s, snr: 7.76
noise: Scissors_70_0, start: 2012.8089 s end: 2018.2649 s, duration: 5.4560 s, snr: 13.34
noise: Drawer_45_4, start: 2032.0458 s end: 2036.2578 s, duration: 4.2120 s, snr: 9.72
noise: Scissors_58_4, start: 2037.1082 s end: 2061.6744 s, duration: 24.5661 s, snr: 3.05
noise: Computer_717_3, start: 2049.2548 s end: 2052.5661 s, duration: 3.3114 s, snr: 5.27
noise: Door_2272_2, start: 2076.2057 s end: 2080.1652 s, duration: 3.9595 s, snr: 5.47
noise: Telephone_57_1, start: 2110.4436 s end: 2129.1322 s, duration: 18.6886 s, snr: 5.86
noise: Door_702_3, start: 2136.2609 s end: 2141.0769 s, duration: 4.8160 s, snr: 2.29
noise: Knock_285_2, start: 2137.2610 s end: 2143.9147 s, duration: 6.6537 s, snr: 6.75
noise: Gunshot_132_0, start: 2138.1138 s end: 2142.4113 s, duration: 4.2975 s, snr: 6.87
noise: Telephone_828_4, start: 2147.4254 s end: 2158.2749 s, duration: 10.8495 s, snr: 0.54
noise: Squeak_74_1, start: 2159.6104 s end: 2188.6773 s, duration: 29.0669 s, snr: 3.73
noise: Telephone_699_3, start: 2172.7056 s end: 2176.6656 s, duration: 3.9600 s, snr: 7.02
noise: Knock_1856_4, start: 2200.7258 s end: 2205.3969 s, duration: 4.6711 s, snr: 10.08
noise: Computer_991_0, start: 2206.1350 s end: 2209.4988 s, duration: 3.3637 s, snr: 2.05
noise: Signalization_89_0, start: 2231.5423 s end: 2237.0748 s, duration: 5.5325 s, snr: 1.84
noise: Signalization_96_4, start: 2253.5973 s end: 2259.1243 s, duration: 5.5270 s, snr: 6.01
noise: Signalization_53_2, start: 2281.4323 s end: 2284.9643 s, duration: 3.5320 s, snr: -1.00
noise: Computer_822_4, start: 2282.5033 s end: 2287.4215 s, duration: 4.9182 s, snr: 9.19
noise: Knock_944_1, start: 2334.7477 s end: 2340.7177 s, duration: 5.9700 s, snr: 4.97
noise: Telephone_42_0, start: 2335.9977 s end: 2346.5901 s, duration: 10.5924 s, snr: 11.26
noise: Scissors_11_1, start: 2357.3078 s end: 2369.3139 s, duration: 12.0061 s, snr: 1.24
noise: Computer_271_0, start: 2363.9739 s end: 2370.9023 s, duration: 6.9284 s, snr: 5.86
noise: Door_1385_0, start: 2371.5117 s end: 2376.1317 s, duration: 4.6200 s, snr: 4.14
noise: Writing_237_4, start: 2404.2254 s end: 2408.7174 s, duration: 4.4920 s, snr: 3.64
noise: Door_78_1, start: 2455.3742 s end: 2458.3825 s, duration: 3.0083 s, snr: 0.15
noise: Telephone_381_2, start: 2461.8316 s end: 2474.9933 s, duration: 13.1617 s, snr: 5.82
noise: Drawer_73_0, start: 2472.7361 s end: 2483.0244 s, duration: 10.2883 s, snr: 0.36
noise: Door_1488_3, start: 2482.5606 s end: 2486.7886 s, duration: 4.2280 s, snr: 7.10
noise: Telephone_510_4, start: 2482.7573 s end: 2485.9714 s, duration: 3.2141 s, snr: 6.06
noise: Drawer_71_0, start: 2493.0559 s end: 2513.8842 s, duration: 20.8283 s, snr: 2.30
noise: Writing_128_0, start: 2503.3866 s end: 2507.3356 s, duration: 3.9490 s, snr: 7.11
noise: Writing_191_0, start: 2512.8610 s end: 2518.1132 s, duration: 5.2523 s, snr: 5.88
noise: Telephone_740_4, start: 2517.3972 s end: 2547.9273 s, duration: 30.5300 s, snr: 7.85
noise: Writing_95_4, start: 2530.7685 s end: 2535.0956 s, duration: 4.3271 s, snr: 4.66
noise: Scissors_32_0, start: 2539.4449 s end: 2566.3718 s, duration: 26.9269 s, snr: 6.73
noise: Knock_1597_2, start: 2557.5520 s end: 2564.8063 s, duration: 7.2542 s, snr: 2.59
noise: Telephone_189_2, start: 2560.5312 s end: 2571.3967 s, duration: 10.8655 s, snr: 4.45
noise: Tool_3009_2, start: 2579.4327 s end: 2583.1457 s, duration: 3.7130 s, snr: -1.00
noise: Writing_18_3, start: 2599.0472 s end: 2602.7517 s, duration: 3.7045 s, snr: 7.73
noise: Telephone_117_4, start: 2602.8307 s end: 2611.7201 s, duration: 8.8894 s, snr: 7.42
noise: Door_2205_0, start: 2670.1696 s end: 2674.0126 s, duration: 3.8430 s, snr: 4.96
noise: Telephone_255_2, start: 2673.2211 s end: 2686.9649 s, duration: 13.7439 s, snr: 4.88
noise: Scissors_39_1, start: 2677.4842 s end: 2681.3399 s, duration: 3.8557 s, snr: 7.21
noise: Computer_443_4, start: 2680.5291 s end: 2704.1748 s, duration: 23.6456 s, snr: 2.46
noise: Drawer_53_4, start: 2681.5383 s end: 2703.3662 s, duration: 21.8279 s, snr: 5.29
noise: Street_132_3, start: 2682.1270 s end: 2687.2488 s, duration: 5.1218 s, snr: 6.55
noise: Telephone_126_3, start: 2682.6660 s end: 2686.9853 s, duration: 4.3193 s, snr: 8.54
noise: Signalization_32_0, start: 2688.0803 s end: 2691.6128 s, duration: 3.5325 s, snr: 7.85
noise: Drawer_86_3, start: 2698.7601 s end: 2702.0568 s, duration: 3.2967 s, snr: 10.15
noise: Babble_142_0, start: 2761.2811 s end: 2771.8091 s, duration: 10.5280 s, snr: 13.33
noise: Signalization_108_3, start: 2789.3192 s end: 2794.8517 s, duration: 5.5325 s, snr: 7.40
noise: Computer_810_1, start: 2793.3929 s end: 2797.2206 s, duration: 3.8277 s, snr: 6.94
noise: Tool_3433_2, start: 2800.9989 s end: 2805.5291 s, duration: 4.5302 s, snr: 1.48
noise: Drawer_151_2, start: 2803.9075 s end: 2810.5350 s, duration: 6.6275 s, snr: 8.25
noise: Computer_994_1, start: 2808.5042 s end: 2835.7306 s, duration: 27.2264 s, snr: 7.15
noise: Computer_132_2, start: 2828.7304 s end: 2836.9492 s, duration: 8.2188 s, snr: 1.97
noise: Tool_3987_2, start: 2829.0246 s end: 2833.5526 s, duration: 4.5280 s, snr: 6.70
noise: Drawer_144_1, start: 2951.0196 s end: 2956.9931 s, duration: 5.9735 s, snr: 5.70
noise: Telephone_288_3, start: 2973.2996 s end: 2991.3620 s, duration: 18.0624 s, snr: 4.80
noise: Squeak_77_1, start: 2978.4169 s end: 2992.2031 s, duration: 13.7861 s, snr: 8.05
noise: Street_103_3, start: 2978.6046 s end: 2984.1484 s, duration: 5.5438 s, snr: -0.60
noise: Gunshot_70_1, start: 2979.1410 s end: 2982.2921 s, duration: 3.1511 s, snr: 6.34
noise: Babble_93_0, start: 2999.0435 s end: 3004.5711 s, duration: 5.5276 s, snr: 17.49
noise: Street_58_0, start: 3022.5471 s end: 3026.0780 s, duration: 3.5309 s, snr: 7.71
noise: Knock_1183_1, start: 3043.4772 s end: 3046.5966 s, duration: 3.1194 s, snr: 3.14
noise: Telephone_495_2, start: 3062.0774 s end: 3074.7881 s, duration: 12.7106 s, snr: 4.27
noise: Telephone_225_4, start: 3082.7709 s end: 3109.3569 s, duration: 26.5860 s, snr: 10.76
noise: Signalization_138_0, start: 3097.4603 s end: 3104.2946 s, duration: 6.8344 s, snr: 3.47
noise: Signalization_128_1, start: 3111.5133 s end: 3115.0641 s, duration: 3.5507 s, snr: 2.33
noise: Gunshot_35_1, start: 3117.5647 s end: 3121.7632 s, duration: 4.1985 s, snr: 6.23
noise: Telephone_181_4, start: 3160.1741 s end: 3167.7420 s, duration: 7.5679 s, snr: 3.68
noise: Telephone_766_3, start: 3169.8716 s end: 3174.4764 s, duration: 4.6049 s, snr: 3.13
noise: Tool_2695_0, start: 3236.2718 s end: 3240.8038 s, duration: 4.5320 s, snr: 4.85
noise: Babble_150_0, start: 3277.5446 s end: 3280.6967 s, duration: 3.1521 s, snr: 15.70
noise: Street_37_3, start: 3352.3714 s end: 3355.9039 s, duration: 3.5325 s, snr: 3.13
noise: Telephone_472_2, start: 3353.7331 s end: 3357.3019 s, duration: 3.5687 s, snr: 8.63
noise: Writing_113_4, start: 3398.9246 s end: 3422.2307 s, duration: 23.3061 s, snr: 6.60
noise: Squeak_128_2, start: 3402.0391 s end: 3430.8897 s, duration: 28.8506 s, snr: 12.16
noise: Babble_165_2, start: 3413.4909 s end: 3434.0363 s, duration: 20.5454 s, snr: 14.53
noise: Babble_146_4, start: 3418.0577 s end: 3428.5903 s, duration: 10.5325 s, snr: 18.81
noise: Computer_763_3, start: 3428.0214 s end: 3433.2631 s, duration: 5.2418 s, snr: 0.43
noise: Knock_708_0, start: 3432.6404 s end: 3437.8282 s, duration: 5.1877 s, snr: -1.00
noise: Telephone_233_4, start: 3444.2451 s end: 3471.3312 s, duration: 27.0861 s, snr: 6.37
noise: Street_35_2, start: 3489.4672 s end: 3493.0064 s, duration: 3.5393 s, snr: 4.97
noise: Squeak_122_0, start: 3491.9976 s end: 3495.7873 s, duration: 3.7897 s, snr: 3.52
noise: Squeak_259_0, start: 3500.7651 s end: 3510.7936 s, duration: 10.0285 s, snr: -1.00
