IS1004d, length = 1965.48 s, percent_of_speech = 0.81, percent_of_noises = 0.49
noise: Knock_1294_3, start: 1526.8406 s end: 1531.4861 s, duration: 4.6455 s, snr: 9.71
noise: Writing_203_0, start: 1536.5261 s end: 1541.3926 s, duration: 4.8665 s, snr: 10.13
noise: Computer_753_2, start: 1545.4563 s end: 1550.6791 s, duration: 5.2228 s, snr: 5.24
noise: Tool_3999_2, start: 1594.0144 s end: 1598.5440 s, duration: 4.5296 s, snr: 4.76
noise: Telephone_594_1, start: 1602.9064 s end: 1608.6328 s, duration: 5.7264 s, snr: 5.42
noise: Drawer_21_0, start: 1616.6599 s end: 1620.4324 s, duration: 3.7725 s, snr: 9.97
noise: Squeak_38_2, start: 1622.8617 s end: 1626.1293 s, duration: 3.2676 s, snr: 2.49
noise: Telephone_49_1, start: 1631.2722 s end: 1636.7210 s, duration: 5.4488 s, snr: 6.42
noise: Street_69_3, start: 1638.2843 s end: 1641.8168 s, duration: 3.5325 s, snr: 9.17
noise: Drawer_152_0, start: 1668.3838 s end: 1672.1673 s, duration: 3.7835 s, snr: 0.86
noise: Writing_250_1, start: 1688.8807 s end: 1694.6137 s, duration: 5.7330 s, snr: 3.37
noise: Street_27_0, start: 1698.7436 s end: 1702.2753 s, duration: 3.5317 s, snr: 9.48
noise: Babble_191_1, start: 1703.8348 s end: 1734.3802 s, duration: 30.5454 s, snr: 14.03
noise: Telephone_165_0, start: 1743.9831 s end: 1756.0566 s, duration: 12.0735 s, snr: 6.07
noise: Knock_491_0, start: 1749.0671 s end: 1752.7729 s, duration: 3.7058 s, snr: 10.13
noise: Telephone_299_0, start: 1783.3526 s end: 1795.5934 s, duration: 12.2409 s, snr: 0.52
noise: Telephone_646_1, start: 1786.2317 s end: 1796.8213 s, duration: 10.5896 s, snr: 0.96
noise: Babble_174_0, start: 1836.6869 s end: 1840.3119 s, duration: 3.6250 s, snr: 16.00
noise: Babble_145_3, start: 1853.2606 s end: 1863.7924 s, duration: 10.5318 s, snr: 15.81
noise: Drawer_82_1, start: 1913.3091 s end: 1916.3236 s, duration: 3.0145 s, snr: 6.86
noise: Babble_122_2, start: 1942.4679 s end: 1952.9939 s, duration: 10.5260 s, snr: 16.84
noise: Street_28_3, start: 1957.7739 s end: 1961.3119 s, duration: 3.5380 s, snr: 4.17
