IN1009, length = 1256.43 s, percent_of_speech = 0.86, percent_of_noises = 0.54
noise: Tool_3146_1, start: 818.2763 s end: 822.8033 s, duration: 4.5270 s, snr: 5.69
noise: Babble_151_1, start: 835.8436 s end: 846.3761 s, duration: 10.5325 s, snr: 15.22
noise: Computer_37_0, start: 839.9064 s end: 842.9143 s, duration: 3.0079 s, snr: 8.83
noise: Squeak_109_2, start: 847.1543 s end: 872.1848 s, duration: 25.0305 s, snr: 7.07
noise: Scissors_71_1, start: 854.4568 s end: 864.8436 s, duration: 10.3868 s, snr: 9.47
noise: Squeak_163_3, start: 900.1875 s end: 905.3745 s, duration: 5.1870 s, snr: 6.16
noise: Writing_18_1, start: 922.7809 s end: 926.4899 s, duration: 3.7090 s, snr: 5.00
noise: Signalization_9_0, start: 926.6863 s end: 957.2317 s, duration: 30.5454 s, snr: 10.27
noise: Telephone_668_1, start: 938.5197 s end: 969.0574 s, duration: 30.5377 s, snr: 0.22
noise: Computer_792_1, start: 962.2761 s end: 966.7136 s, duration: 4.4375 s, snr: 7.44
noise: Telephone_201_2, start: 1014.3983 s end: 1036.3694 s, duration: 21.9711 s, snr: 8.02
noise: Computer_796_0, start: 1017.9568 s end: 1021.4634 s, duration: 3.5066 s, snr: 2.01
noise: Telephone_349_0, start: 1018.6475 s end: 1022.3473 s, duration: 3.6997 s, snr: 6.51
noise: Drawer_46_2, start: 1030.8526 s end: 1034.4264 s, duration: 3.5738 s, snr: 5.55
noise: Scissors_47_1, start: 1042.2498 s end: 1045.8833 s, duration: 3.6335 s, snr: 3.12
noise: Squeak_226_2, start: 1044.8681 s end: 1055.0956 s, duration: 10.2275 s, snr: 6.35
noise: Writing_174_0, start: 1075.6858 s end: 1085.8522 s, duration: 10.1665 s, snr: 3.48
noise: Squeak_26_4, start: 1102.1324 s end: 1110.3989 s, duration: 8.2665 s, snr: 4.23
noise: Door_4502_2, start: 1119.9185 s end: 1123.6161 s, duration: 3.6976 s, snr: 2.00
noise: Telephone_189_4, start: 1143.5734 s end: 1154.4321 s, duration: 10.8586 s, snr: 5.76
noise: Scissors_61_3, start: 1209.3369 s end: 1222.3435 s, duration: 13.0066 s, snr: 4.46
noise: Gunshot_15_1, start: 1213.3091 s end: 1217.4798 s, duration: 4.1707 s, snr: 9.64
noise: Computer_672_1, start: 1238.7593 s end: 1242.4560 s, duration: 3.6967 s, snr: 7.31
