IN1007, length = 2411.42 s, percent_of_speech = 0.96, percent_of_noises = 0.49
noise: Drawer_121_1, start: 1354.7010 s end: 1359.3160 s, duration: 4.6150 s, snr: 0.42
noise: Writing_143_2, start: 1374.8001 s end: 1404.8061 s, duration: 30.0060 s, snr: -0.49
noise: Drawer_49_3, start: 1397.2323 s end: 1405.4389 s, duration: 8.2066 s, snr: 6.18
noise: Telephone_400_1, start: 1400.7928 s end: 1412.6634 s, duration: 11.8706 s, snr: 1.72
noise: Scissors_42_2, start: 1447.3661 s end: 1450.9901 s, duration: 3.6240 s, snr: 2.61
noise: Writing_94_1, start: 1475.5567 s end: 1481.0490 s, duration: 5.4923 s, snr: 5.33
noise: Computer_1002_4, start: 1483.5651 s end: 1491.7697 s, duration: 8.2046 s, snr: 5.02
noise: Scissors_31_4, start: 1526.0871 s end: 1531.0604 s, duration: 4.9733 s, snr: 4.36
noise: Computer_1039_0, start: 1527.8686 s end: 1537.7546 s, duration: 9.8860 s, snr: 3.47
noise: Computer_896_2, start: 1568.5393 s end: 1574.2118 s, duration: 5.6725 s, snr: 3.40
noise: Gunshot_107_1, start: 1576.1506 s end: 1583.5831 s, duration: 7.4325 s, snr: 1.38
noise: Babble_190_4, start: 1612.4168 s end: 1641.0944 s, duration: 28.6776 s, snr: 12.77
noise: Gunshot_78_1, start: 1614.8116 s end: 1636.4886 s, duration: 21.6770 s, snr: 6.31
noise: Knock_168_0, start: 1622.9109 s end: 1626.1742 s, duration: 3.2632 s, snr: 9.33
noise: Scissors_47_3, start: 1653.2419 s end: 1656.8674 s, duration: 3.6255 s, snr: 6.27
noise: Signalization_73_0, start: 1665.9461 s end: 1669.6406 s, duration: 3.6945 s, snr: 6.65
noise: Signalization_5_0, start: 1672.5131 s end: 1684.1083 s, duration: 11.5953 s, snr: 7.17
noise: Computer_1052_2, start: 1709.7596 s end: 1716.9499 s, duration: 7.1904 s, snr: 9.30
noise: Gunshot_26_2, start: 1758.9359 s end: 1762.6659 s, duration: 3.7300 s, snr: 7.26
noise: Babble_117_3, start: 1773.8946 s end: 1779.4381 s, duration: 5.5435 s, snr: 17.39
noise: Computer_183_2, start: 1789.0944 s end: 1792.4300 s, duration: 3.3356 s, snr: 3.07
noise: Knock_683_2, start: 1794.4830 s end: 1798.0079 s, duration: 3.5249 s, snr: 5.32
noise: Door_1043_0, start: 1884.5974 s end: 1887.8726 s, duration: 3.2752 s, snr: 6.72
noise: Computer_558_4, start: 1888.0062 s end: 1892.7325 s, duration: 4.7263 s, snr: 11.51
noise: Signalization_93_4, start: 1889.9119 s end: 1895.4444 s, duration: 5.5325 s, snr: 1.60
noise: Telephone_87_0, start: 1899.7220 s end: 1908.2532 s, duration: 8.5312 s, snr: 2.63
noise: Drawer_75_2, start: 1925.5455 s end: 1936.3936 s, duration: 10.8481 s, snr: -0.19
noise: Knock_229_0, start: 1929.8206 s end: 1951.8130 s, duration: 21.9924 s, snr: 0.21
noise: Telephone_45_0, start: 1960.5951 s end: 1964.1581 s, duration: 3.5630 s, snr: 5.88
noise: Babble_163_0, start: 1968.8553 s end: 1986.7162 s, duration: 17.8610 s, snr: 19.04
noise: Computer_1076_1, start: 1989.4085 s end: 1999.0355 s, duration: 9.6270 s, snr: 0.99
noise: Telephone_228_3, start: 2018.1614 s end: 2044.7511 s, duration: 26.5898 s, snr: 1.31
noise: Writing_161_2, start: 2021.3021 s end: 2025.1882 s, duration: 3.8861 s, snr: 3.59
noise: Tool_3832_2, start: 2028.1260 s end: 2032.6584 s, duration: 4.5324 s, snr: 7.54
noise: Telephone_27_2, start: 2046.9672 s end: 2068.0996 s, duration: 21.1324 s, snr: 5.59
noise: Telephone_154_0, start: 2051.3084 s end: 2056.6634 s, duration: 5.3550 s, snr: 5.38
noise: Telephone_314_3, start: 2064.1726 s end: 2069.1049 s, duration: 4.9322 s, snr: -0.39
noise: Computer_1003_0, start: 2064.5073 s end: 2072.8629 s, duration: 8.3556 s, snr: 7.68
noise: Door_1861_4, start: 2081.4712 s end: 2085.1289 s, duration: 3.6578 s, snr: 5.29
noise: Computer_1142_3, start: 2107.1314 s end: 2114.2243 s, duration: 7.0929 s, snr: 8.09
noise: Telephone_675_3, start: 2143.6891 s end: 2148.5145 s, duration: 4.8254 s, snr: 5.24
noise: Gunshot_88_3, start: 2157.3075 s end: 2160.5329 s, duration: 3.2254 s, snr: 2.68
noise: Telephone_554_2, start: 2161.8919 s end: 2169.9828 s, duration: 8.0909 s, snr: 6.04
noise: Babble_78_4, start: 2276.1734 s end: 2281.7057 s, duration: 5.5322 s, snr: 10.80
noise: Knock_842_0, start: 2286.5518 s end: 2290.7737 s, duration: 4.2220 s, snr: 8.46
noise: Scissors_42_0, start: 2323.3456 s end: 2326.9776 s, duration: 3.6320 s, snr: -1.00
noise: Telephone_124_3, start: 2324.2762 s end: 2328.6112 s, duration: 4.3350 s, snr: 8.18
noise: Computer_587_3, start: 2363.6986 s end: 2367.4892 s, duration: 3.7906 s, snr: 5.53
noise: Computer_34_2, start: 2374.4356 s end: 2395.9020 s, duration: 21.4664 s, snr: 1.28
noise: Drawer_24_4, start: 2383.4949 s end: 2389.1647 s, duration: 5.6699 s, snr: 7.37
noise: Signalization_78_3, start: 2406.8010 s end: 2410.3300 s, duration: 3.5290 s, snr: 3.84
