IS1006c, length = 1950.21 s, percent_of_speech = 0.88, percent_of_noises = 0.57
noise: Door_4463_1, start: 1618.4359 s end: 1622.5788 s, duration: 4.1429 s, snr: 4.41
noise: Writing_0_2, start: 1627.2681 s end: 1631.8546 s, duration: 4.5865 s, snr: 2.11
noise: Signalization_74_3, start: 1637.0403 s end: 1640.5728 s, duration: 3.5325 s, snr: 7.32
noise: Drawer_99_1, start: 1640.0422 s end: 1654.8508 s, duration: 14.8086 s, snr: 2.46
noise: Writing_138_4, start: 1677.7017 s end: 1681.4482 s, duration: 3.7465 s, snr: 5.23
noise: Gunshot_143_2, start: 1680.1534 s end: 1695.9059 s, duration: 15.7525 s, snr: 7.63
noise: Drawer_138_4, start: 1689.8280 s end: 1693.4769 s, duration: 3.6489 s, snr: 2.18
noise: Computer_1276_4, start: 1691.3741 s end: 1698.7508 s, duration: 7.3767 s, snr: 5.39
noise: Drawer_128_2, start: 1755.7483 s end: 1761.7207 s, duration: 5.9725 s, snr: 3.56
noise: Writing_95_1, start: 1790.1970 s end: 1794.5239 s, duration: 4.3269 s, snr: 3.23
noise: Door_689_2, start: 1848.4866 s end: 1851.7016 s, duration: 3.2150 s, snr: 10.86
noise: Door_4937_4, start: 1851.2786 s end: 1855.9000 s, duration: 4.6214 s, snr: 2.88
noise: Computer_804_0, start: 1860.1236 s end: 1865.8441 s, duration: 5.7205 s, snr: 2.04
noise: Telephone_0_1, start: 1870.8062 s end: 1881.0786 s, duration: 10.2724 s, snr: 5.43
noise: Babble_90_4, start: 1876.7932 s end: 1882.3386 s, duration: 5.5454 s, snr: 14.14
noise: Writing_170_1, start: 1886.2460 s end: 1889.5520 s, duration: 3.3060 s, snr: 5.26
noise: Writing_187_4, start: 1900.5073 s end: 1912.9339 s, duration: 12.4266 s, snr: 3.22
noise: Squeak_260_4, start: 1906.0855 s end: 1909.5420 s, duration: 3.4565 s, snr: 6.49
noise: Squeak_244_2, start: 1908.6175 s end: 1912.4697 s, duration: 3.8522 s, snr: 3.05
noise: Knock_831_3, start: 1917.4554 s end: 1920.7024 s, duration: 3.2470 s, snr: 8.01
