TS3011a, length = 1509.76 s, percent_of_speech = 0.82, percent_of_noises = 0.48
noise: Computer_293_0, start: 1058.1397 s end: 1063.1493 s, duration: 5.0096 s, snr: 5.21
noise: Door_601_4, start: 1068.2243 s end: 1072.1896 s, duration: 3.9652 s, snr: 2.28
noise: Telephone_691_1, start: 1073.6650 s end: 1078.4841 s, duration: 4.8191 s, snr: 3.61
noise: Street_63_4, start: 1077.7619 s end: 1081.3073 s, duration: 3.5454 s, snr: 4.83
noise: Door_4298_1, start: 1078.7670 s end: 1082.4758 s, duration: 3.7088 s, snr: -0.28
noise: Squeak_210_0, start: 1079.5577 s end: 1083.6104 s, duration: 4.0528 s, snr: 6.02
noise: Scissors_5_2, start: 1082.0407 s end: 1094.9668 s, duration: 12.9260 s, snr: 7.94
noise: Drawer_50_1, start: 1098.9010 s end: 1113.4679 s, duration: 14.5669 s, snr: 1.51
noise: Computer_373_0, start: 1100.0463 s end: 1123.3405 s, duration: 23.2942 s, snr: 3.05
noise: Computer_973_1, start: 1126.9591 s end: 1130.5428 s, duration: 3.5838 s, snr: -0.85
noise: Street_152_4, start: 1140.2877 s end: 1147.8486 s, duration: 7.5609 s, snr: 0.62
noise: Squeak_251_4, start: 1187.6096 s end: 1190.8577 s, duration: 3.2481 s, snr: 9.20
noise: Computer_186_4, start: 1209.5393 s end: 1213.7819 s, duration: 4.2426 s, snr: 6.22
noise: Telephone_654_3, start: 1230.9690 s end: 1261.5045 s, duration: 30.5355 s, snr: 3.65
noise: Telephone_529_0, start: 1236.9639 s end: 1242.5687 s, duration: 5.6047 s, snr: 9.37
noise: Telephone_662_1, start: 1243.3633 s end: 1277.7226 s, duration: 34.3594 s, snr: 0.73
noise: Telephone_729_3, start: 1245.4552 s end: 1273.1299 s, duration: 27.6746 s, snr: 0.56
noise: Tool_2789_4, start: 1248.1633 s end: 1251.5221 s, duration: 3.3587 s, snr: 2.74
noise: Scissors_61_4, start: 1248.7133 s end: 1261.7193 s, duration: 13.0060 s, snr: 5.68
noise: Signalization_5_2, start: 1282.0020 s end: 1293.5832 s, duration: 11.5812 s, snr: 1.42
noise: Squeak_73_4, start: 1305.2479 s end: 1320.2203 s, duration: 14.9724 s, snr: 5.61
noise: Signalization_37_1, start: 1318.7208 s end: 1323.1608 s, duration: 4.4400 s, snr: 5.22
noise: Telephone_413_2, start: 1338.5486 s end: 1389.3933 s, duration: 50.8448 s, snr: 5.16
noise: Squeak_268_4, start: 1344.3733 s end: 1365.6801 s, duration: 21.3069 s, snr: 6.10
noise: Door_2259_4, start: 1383.5077 s end: 1386.6064 s, duration: 3.0986 s, snr: 5.45
noise: Computer_478_0, start: 1419.5819 s end: 1427.8566 s, duration: 8.2746 s, snr: 6.18
noise: Street_22_1, start: 1426.7255 s end: 1430.2550 s, duration: 3.5295 s, snr: 3.19
noise: Drawer_109_1, start: 1431.7422 s end: 1435.4357 s, duration: 3.6935 s, snr: 5.59
noise: Signalization_137_1, start: 1450.4500 s end: 1460.9825 s, duration: 10.5325 s, snr: 9.60
noise: Writing_257_2, start: 1477.3844 s end: 1484.5905 s, duration: 7.2061 s, snr: 2.45
noise: Squeak_171_2, start: 1479.3442 s end: 1482.4161 s, duration: 3.0719 s, snr: 5.79
noise: Computer_1109_2, start: 1502.6137 s end: 1509.5862 s, duration: 6.9725 s, snr: 1.78
