TS3008a, length = 1352.23 s, percent_of_speech = 0.70, percent_of_noises = 0.54
noise: Telephone_804_4, start: 715.0794 s end: 724.9943 s, duration: 9.9149 s, snr: 6.60
noise: Babble_155_2, start: 734.2938 s end: 744.8347 s, duration: 10.5410 s, snr: 14.15
noise: Scissors_41_1, start: 785.2769 s end: 795.2634 s, duration: 9.9865 s, snr: 2.69
noise: Scissors_36_0, start: 791.9698 s end: 806.0964 s, duration: 14.1266 s, snr: 2.69
noise: Squeak_230_3, start: 793.4894 s end: 797.4724 s, duration: 3.9830 s, snr: 5.58
noise: Tool_3745_4, start: 794.3105 s end: 798.8368 s, duration: 4.5263 s, snr: 8.51
noise: Drawer_11_0, start: 804.1745 s end: 815.5020 s, duration: 11.3275 s, snr: 5.86
noise: Writing_0_2, start: 815.2271 s end: 819.8136 s, duration: 4.5865 s, snr: 4.72
noise: Computer_509_1, start: 821.1816 s end: 826.7582 s, duration: 5.5766 s, snr: 5.98
noise: Telephone_194_0, start: 823.6348 s end: 830.0845 s, duration: 6.4497 s, snr: 7.48
noise: Babble_61_4, start: 835.0666 s end: 840.5991 s, duration: 5.5325 s, snr: 17.01
noise: Telephone_122_3, start: 836.3485 s end: 842.9911 s, duration: 6.6426 s, snr: 7.48
noise: Babble_87_0, start: 838.0579 s end: 843.5905 s, duration: 5.5326 s, snr: 17.78
noise: Knock_485_0, start: 865.5707 s end: 869.5387 s, duration: 3.9680 s, snr: 4.29
noise: Telephone_415_0, start: 869.4739 s end: 920.3101 s, duration: 50.8362 s, snr: 9.73
noise: Telephone_556_1, start: 871.2145 s end: 879.3106 s, duration: 8.0961 s, snr: 5.43
noise: Computer_1211_3, start: 874.9508 s end: 878.3032 s, duration: 3.3524 s, snr: 5.37
noise: Babble_181_1, start: 885.7498 s end: 906.2797 s, duration: 20.5299 s, snr: 13.67
noise: Telephone_391_3, start: 912.2842 s end: 924.1493 s, duration: 11.8651 s, snr: 3.25
noise: Computer_595_2, start: 931.8153 s end: 936.3208 s, duration: 4.5055 s, snr: 2.00
noise: Door_4716_1, start: 946.5220 s end: 950.0377 s, duration: 3.5157 s, snr: 1.15
noise: Tool_2610_1, start: 952.1014 s end: 956.6285 s, duration: 4.5271 s, snr: 4.99
noise: Street_153_3, start: 952.5643 s end: 968.0914 s, duration: 15.5271 s, snr: 9.85
noise: Computer_477_3, start: 968.3342 s end: 980.1458 s, duration: 11.8116 s, snr: 6.42
noise: Babble_77_3, start: 969.7997 s end: 975.3288 s, duration: 5.5291 s, snr: 14.17
noise: Drawer_61_4, start: 973.1713 s end: 983.7399 s, duration: 10.5686 s, snr: 3.50
noise: Telephone_82_3, start: 998.6054 s end: 1002.2951 s, duration: 3.6898 s, snr: -0.41
noise: Squeak_214_4, start: 1012.1156 s end: 1015.7389 s, duration: 3.6232 s, snr: 1.55
noise: Computer_607_1, start: 1015.6756 s end: 1021.8612 s, duration: 6.1856 s, snr: 8.87
noise: Door_4768_2, start: 1028.3325 s end: 1031.9108 s, duration: 3.5783 s, snr: 6.45
noise: Computer_637_2, start: 1034.8028 s end: 1040.0542 s, duration: 5.2515 s, snr: 5.08
noise: Drawer_54_2, start: 1092.6506 s end: 1095.8669 s, duration: 3.2162 s, snr: 4.39
noise: Squeak_80_4, start: 1147.8244 s end: 1161.3968 s, duration: 13.5724 s, snr: 5.40
noise: Scissors_63_0, start: 1190.3127 s end: 1194.1707 s, duration: 3.8580 s, snr: 6.68
noise: Knock_568_0, start: 1192.0685 s end: 1196.0179 s, duration: 3.9494 s, snr: 3.40
noise: Tool_2548_1, start: 1274.4348 s end: 1278.9663 s, duration: 4.5315 s, snr: 5.28
noise: Squeak_258_0, start: 1329.7469 s end: 1332.9678 s, duration: 3.2209 s, snr: 0.89
noise: Telephone_394_1, start: 1335.6813 s end: 1347.5403 s, duration: 11.8590 s, snr: 2.29
