TS3010a, length = 1041.02 s, percent_of_speech = 0.50, percent_of_noises = 0.42
noise: Squeak_41_1, start: 428.8512 s end: 432.0533 s, duration: 3.2021 s, snr: 6.31
noise: Door_2379_4, start: 437.3335 s end: 440.5465 s, duration: 3.2130 s, snr: 4.31
noise: Knock_1809_4, start: 437.4981 s end: 441.6567 s, duration: 4.1586 s, snr: 10.09
noise: Computer_1076_2, start: 443.1361 s end: 452.7629 s, duration: 9.6269 s, snr: 5.60
noise: Telephone_433_2, start: 463.3245 s end: 496.7110 s, duration: 33.3865 s, snr: 0.24
noise: Drawer_41_3, start: 476.1886 s end: 486.8563 s, duration: 10.6678 s, snr: 2.12
noise: Scissors_73_2, start: 572.7420 s end: 578.2687 s, duration: 5.5267 s, snr: 3.41
noise: Computer_914_2, start: 578.9822 s end: 583.4192 s, duration: 4.4370 s, snr: 8.63
noise: Gunshot_116_2, start: 619.3160 s end: 626.3885 s, duration: 7.0725 s, snr: 3.16
noise: Computer_649_1, start: 627.4268 s end: 631.3673 s, duration: 3.9405 s, snr: 3.05
noise: Door_1354_2, start: 633.4189 s end: 637.4264 s, duration: 4.0075 s, snr: -1.00
noise: Telephone_764_0, start: 647.6930 s end: 652.7501 s, duration: 5.0571 s, snr: 9.53
noise: Telephone_94_1, start: 674.6893 s end: 678.4921 s, duration: 3.8029 s, snr: 2.67
noise: Computer_287_2, start: 678.8050 s end: 683.2808 s, duration: 4.4758 s, snr: 1.42
noise: Scissors_15_1, start: 710.5403 s end: 718.5061 s, duration: 7.9659 s, snr: 6.12
noise: Drawer_147_4, start: 712.6021 s end: 732.0904 s, duration: 19.4884 s, snr: 8.63
noise: Gunshot_16_3, start: 751.4029 s end: 756.1879 s, duration: 4.7850 s, snr: 2.92
noise: Telephone_101_4, start: 779.2052 s end: 796.4782 s, duration: 17.2730 s, snr: 9.71
noise: Signalization_110_0, start: 793.7660 s end: 799.3044 s, duration: 5.5384 s, snr: 7.65
noise: Signalization_24_1, start: 795.0114 s end: 798.5455 s, duration: 3.5341 s, snr: 6.23
noise: Telephone_0_4, start: 895.3922 s end: 905.6646 s, duration: 10.2724 s, snr: 5.44
noise: Door_2020_1, start: 898.8235 s end: 902.8626 s, duration: 4.0391 s, snr: 5.95
noise: Writing_124_0, start: 919.0616 s end: 924.1158 s, duration: 5.0542 s, snr: 6.76
noise: Writing_205_1, start: 933.6471 s end: 941.1531 s, duration: 7.5060 s, snr: -1.00
noise: Squeak_158_2, start: 942.2646 s end: 949.3316 s, duration: 7.0670 s, snr: 6.34
noise: Babble_44_3, start: 949.3822 s end: 954.9124 s, duration: 5.5303 s, snr: 14.72
noise: Knock_1758_1, start: 965.4572 s end: 969.0284 s, duration: 3.5712 s, snr: 3.79
noise: Door_4828_4, start: 979.8338 s end: 983.4503 s, duration: 3.6165 s, snr: 0.09
noise: Signalization_111_0, start: 986.9417 s end: 992.4742 s, duration: 5.5325 s, snr: 0.91
noise: Computer_742_0, start: 990.8279 s end: 994.2799 s, duration: 3.4520 s, snr: 2.95
noise: Telephone_510_2, start: 997.5505 s end: 1000.7649 s, duration: 3.2144 s, snr: 6.38
noise: Computer_623_3, start: 1000.9531 s end: 1005.5681 s, duration: 4.6150 s, snr: 10.24
noise: Door_4737_3, start: 1029.8263 s end: 1038.9485 s, duration: 9.1222 s, snr: 3.68
