ES2007b, length = 1685.34 s, percent_of_speech = 0.83, percent_of_noises = 0.56
noise: Computer_691_0, start: 1210.8811 s end: 1214.1980 s, duration: 3.3169 s, snr: 10.49
noise: Babble_104_2, start: 1233.1402 s end: 1238.6727 s, duration: 5.5325 s, snr: 14.33
noise: Gunshot_104_2, start: 1233.6971 s end: 1263.8024 s, duration: 30.1054 s, snr: 8.53
noise: Street_102_4, start: 1240.6986 s end: 1246.2262 s, duration: 5.5276 s, snr: 4.56
noise: Squeak_115_3, start: 1244.8124 s end: 1248.5639 s, duration: 3.7515 s, snr: 4.38
noise: Drawer_8_3, start: 1245.4141 s end: 1251.0419 s, duration: 5.6279 s, snr: 1.98
noise: Computer_116_1, start: 1263.5252 s end: 1275.7312 s, duration: 12.2060 s, snr: 1.44
noise: Telephone_672_2, start: 1302.5177 s end: 1336.9669 s, duration: 34.4491 s, snr: 6.71
noise: Computer_347_1, start: 1305.1706 s end: 1310.1673 s, duration: 4.9968 s, snr: 8.58
noise: Computer_1016_1, start: 1312.3411 s end: 1324.2593 s, duration: 11.9181 s, snr: 4.91
noise: Knock_474_3, start: 1339.2072 s end: 1344.6650 s, duration: 5.4578 s, snr: 5.34
noise: Tool_2764_3, start: 1339.8329 s end: 1344.3647 s, duration: 4.5319 s, snr: 9.01
noise: Drawer_26_3, start: 1358.5838 s end: 1361.7605 s, duration: 3.1768 s, snr: 10.53
noise: Writing_206_4, start: 1395.2439 s end: 1400.4164 s, duration: 5.1725 s, snr: 8.69
noise: Drawer_117_1, start: 1415.4194 s end: 1418.5961 s, duration: 3.1768 s, snr: 3.84
noise: Telephone_515_1, start: 1432.5846 s end: 1435.8050 s, duration: 3.2204 s, snr: 5.65
noise: Squeak_273_4, start: 1436.8694 s end: 1447.7957 s, duration: 10.9262 s, snr: 7.35
noise: Computer_1251_1, start: 1452.4685 s end: 1458.9720 s, duration: 6.5035 s, snr: 3.65
noise: Babble_78_4, start: 1492.1426 s end: 1497.6748 s, duration: 5.5322 s, snr: 12.01
noise: Drawer_129_4, start: 1505.0384 s end: 1511.6465 s, duration: 6.6081 s, snr: -0.94
noise: Telephone_461_2, start: 1527.2987 s end: 1530.8563 s, duration: 3.5575 s, snr: -1.00
noise: Tool_3212_4, start: 1531.9588 s end: 1536.4942 s, duration: 4.5354 s, snr: 4.46
noise: Squeak_254_1, start: 1542.6657 s end: 1546.2521 s, duration: 3.5864 s, snr: 5.20
noise: Knock_331_4, start: 1560.2363 s end: 1563.7749 s, duration: 3.5386 s, snr: 1.87
noise: Street_19_3, start: 1597.6425 s end: 1601.1879 s, duration: 3.5454 s, snr: -0.07
noise: Signalization_56_1, start: 1651.4454 s end: 1654.9779 s, duration: 3.5325 s, snr: 4.25
noise: Knock_482_0, start: 1680.7272 s end: 1684.0593 s, duration: 3.3320 s, snr: 5.07
