ES2006c, length = 2181.69 s, percent_of_speech = 0.90, percent_of_noises = 0.45
noise: Squeak_101_3, start: 1389.0338 s end: 1401.3806 s, duration: 12.3467 s, snr: 3.10
noise: Street_130_4, start: 1405.9852 s end: 1416.5152 s, duration: 10.5300 s, snr: 8.18
noise: Scissors_66_2, start: 1417.8959 s end: 1421.0279 s, duration: 3.1320 s, snr: 7.20
noise: Telephone_132_3, start: 1423.3387 s end: 1426.9803 s, duration: 3.6416 s, snr: 10.36
noise: Computer_1077_4, start: 1445.2521 s end: 1452.4230 s, duration: 7.1709 s, snr: 7.98
noise: Scissors_7_3, start: 1449.7016 s end: 1455.1543 s, duration: 5.4528 s, snr: 0.76
noise: Telephone_763_4, start: 1459.6779 s end: 1468.1259 s, duration: 8.4480 s, snr: 3.02
noise: Telephone_584_4, start: 1462.4526 s end: 1482.4398 s, duration: 19.9871 s, snr: 3.73
noise: Writing_160_4, start: 1512.0397 s end: 1515.6458 s, duration: 3.6061 s, snr: -0.55
noise: Computer_935_3, start: 1519.5566 s end: 1523.8978 s, duration: 4.3413 s, snr: 9.17
noise: Telephone_682_0, start: 1522.0541 s end: 1527.0883 s, duration: 5.0342 s, snr: 3.82
noise: Computer_924_2, start: 1529.6561 s end: 1533.7076 s, duration: 4.0515 s, snr: 3.48
noise: Door_905_1, start: 1538.4570 s end: 1542.4215 s, duration: 3.9645 s, snr: 7.65
noise: Knock_15_4, start: 1540.3439 s end: 1551.9525 s, duration: 11.6086 s, snr: 1.56
noise: Knock_406_1, start: 1545.7395 s end: 1550.2442 s, duration: 4.5048 s, snr: 2.86
noise: Computer_992_2, start: 1547.9552 s end: 1551.0197 s, duration: 3.0645 s, snr: 9.68
noise: Drawer_118_3, start: 1548.0248 s end: 1553.7309 s, duration: 5.7061 s, snr: 6.25
noise: Knock_924_1, start: 1577.1027 s end: 1580.1186 s, duration: 3.0159 s, snr: 7.02
noise: Babble_153_4, start: 1595.8591 s end: 1606.4011 s, duration: 10.5420 s, snr: 18.11
noise: Computer_1080_0, start: 1607.4043 s end: 1615.4617 s, duration: 8.0575 s, snr: 3.11
noise: Scissors_57_1, start: 1613.3801 s end: 1630.9865 s, duration: 17.6064 s, snr: 2.91
noise: Telephone_173_1, start: 1620.8637 s end: 1629.7434 s, duration: 8.8798 s, snr: 5.03
noise: Writing_258_2, start: 1626.9468 s end: 1653.8328 s, duration: 26.8860 s, snr: 4.73
noise: Telephone_292_1, start: 1652.8766 s end: 1668.6455 s, duration: 15.7689 s, snr: 12.14
noise: Knock_635_4, start: 1752.9169 s end: 1757.9060 s, duration: 4.9891 s, snr: 4.92
noise: Knock_2_0, start: 1770.8266 s end: 1774.5436 s, duration: 3.7170 s, snr: 5.49
noise: Drawer_82_3, start: 1772.3824 s end: 1775.3949 s, duration: 3.0125 s, snr: 7.31
noise: Telephone_817_4, start: 1780.2164 s end: 1784.4769 s, duration: 4.2605 s, snr: 6.65
noise: Scissors_35_3, start: 1841.7883 s end: 1854.2344 s, duration: 12.4461 s, snr: 6.27
noise: Knock_1394_4, start: 1864.1751 s end: 1868.2151 s, duration: 4.0400 s, snr: 1.22
noise: Gunshot_106_2, start: 1887.3331 s end: 1890.4827 s, duration: 3.1496 s, snr: 7.49
noise: Writing_34_0, start: 1899.6765 s end: 1904.1285 s, duration: 4.4520 s, snr: 3.45
noise: Door_1817_1, start: 1912.6418 s end: 1916.9798 s, duration: 4.3380 s, snr: 6.42
noise: Writing_66_1, start: 1913.3633 s end: 1935.5896 s, duration: 22.2264 s, snr: 4.46
noise: Telephone_84_2, start: 1917.7521 s end: 1921.1283 s, duration: 3.3763 s, snr: 9.68
noise: Babble_91_1, start: 1964.0059 s end: 1969.5512 s, duration: 5.5454 s, snr: 14.20
noise: Street_69_4, start: 1973.4590 s end: 1976.9915 s, duration: 3.5325 s, snr: 2.63
noise: Babble_161_1, start: 1985.7910 s end: 1996.3364 s, duration: 10.5454 s, snr: 17.49
noise: Computer_616_1, start: 1993.3008 s end: 1996.5645 s, duration: 3.2637 s, snr: 6.33
noise: Knock_1158_3, start: 2042.1234 s end: 2050.7464 s, duration: 8.6230 s, snr: 6.28
noise: Telephone_206_4, start: 2045.0482 s end: 2067.0306 s, duration: 21.9824 s, snr: 4.50
noise: Drawer_66_2, start: 2049.7601 s end: 2053.2553 s, duration: 3.4952 s, snr: 6.50
noise: Scissors_60_2, start: 2065.4887 s end: 2068.9551 s, duration: 3.4664 s, snr: 1.58
noise: Computer_984_2, start: 2067.5457 s end: 2071.4596 s, duration: 3.9139 s, snr: 0.19
noise: Telephone_410_4, start: 2096.9847 s end: 2147.8323 s, duration: 50.8476 s, snr: 6.80
noise: Squeak_109_1, start: 2107.6749 s end: 2132.7073 s, duration: 25.0324 s, snr: -1.00
