TS3007a, length = 1609.34 s, percent_of_speech = 0.75, percent_of_noises = 0.61
noise: Telephone_478_0, start: 1009.4315 s end: 1023.0229 s, duration: 13.5914 s, snr: 7.04
noise: Door_781_4, start: 1017.0413 s end: 1022.4823 s, duration: 5.4410 s, snr: 5.88
noise: Scissors_22_2, start: 1028.6764 s end: 1038.5450 s, duration: 9.8686 s, snr: 8.98
noise: Computer_686_4, start: 1029.8163 s end: 1035.5352 s, duration: 5.7190 s, snr: 8.43
noise: Computer_829_3, start: 1030.0206 s end: 1035.6751 s, duration: 5.6545 s, snr: 4.38
noise: Drawer_42_2, start: 1030.8864 s end: 1038.5736 s, duration: 7.6871 s, snr: 5.98
noise: Babble_198_2, start: 1070.2919 s end: 1100.8358 s, duration: 30.5439 s, snr: 12.76
noise: Door_291_2, start: 1089.1767 s end: 1093.1079 s, duration: 3.9312 s, snr: 7.93
noise: Drawer_157_4, start: 1111.6559 s end: 1121.6222 s, duration: 9.9663 s, snr: 4.99
noise: Writing_71_1, start: 1138.6412 s end: 1163.7877 s, duration: 25.1465 s, snr: 4.65
noise: Gunshot_63_2, start: 1143.9981 s end: 1147.2156 s, duration: 3.2175 s, snr: 8.63
noise: Scissors_33_0, start: 1155.8456 s end: 1165.2917 s, duration: 9.4461 s, snr: 3.49
noise: Babble_153_1, start: 1163.9648 s end: 1174.5102 s, duration: 10.5454 s, snr: 15.90
noise: Telephone_442_2, start: 1212.6689 s end: 1241.0963 s, duration: 28.4274 s, snr: 5.36
noise: Computer_971_0, start: 1220.4068 s end: 1223.7117 s, duration: 3.3050 s, snr: 2.98
noise: Scissors_94_4, start: 1222.5872 s end: 1225.6147 s, duration: 3.0275 s, snr: 5.48
noise: Scissors_80_2, start: 1238.9507 s end: 1256.2968 s, duration: 17.3461 s, snr: 2.26
noise: Signalization_85_0, start: 1252.0242 s end: 1257.5534 s, duration: 5.5291 s, snr: 6.24
noise: Computer_1073_2, start: 1339.5069 s end: 1344.9214 s, duration: 5.4145 s, snr: 6.04
noise: Computer_590_4, start: 1353.7244 s end: 1360.5996 s, duration: 6.8751 s, snr: 5.04
noise: Telephone_143_4, start: 1374.6510 s end: 1378.8806 s, duration: 4.2296 s, snr: 0.92
noise: Scissors_44_2, start: 1387.2028 s end: 1413.7288 s, duration: 26.5260 s, snr: 3.75
noise: Writing_114_2, start: 1439.5291 s end: 1460.2952 s, duration: 20.7661 s, snr: 6.58
noise: Drawer_98_3, start: 1440.5568 s end: 1446.2052 s, duration: 5.6484 s, snr: 7.51
noise: Telephone_626_4, start: 1448.9278 s end: 1459.5783 s, duration: 10.6505 s, snr: 3.12
noise: Telephone_350_2, start: 1466.7444 s end: 1470.4531 s, duration: 3.7088 s, snr: 2.91
noise: Telephone_561_1, start: 1471.1936 s end: 1479.7584 s, duration: 8.5647 s, snr: 8.78
noise: Telephone_409_0, start: 1514.8341 s end: 1523.8137 s, duration: 8.9796 s, snr: 10.04
noise: Knock_44_1, start: 1517.5607 s end: 1520.8896 s, duration: 3.3289 s, snr: 11.07
noise: Computer_552_3, start: 1527.1154 s end: 1534.2626 s, duration: 7.1471 s, snr: 6.29
noise: Signalization_143_1, start: 1546.5636 s end: 1562.1090 s, duration: 15.5454 s, snr: 5.56
noise: Knock_1451_3, start: 1548.5119 s end: 1551.6664 s, duration: 3.1545 s, snr: 0.82
noise: Squeak_256_2, start: 1581.5039 s end: 1585.9105 s, duration: 4.4066 s, snr: 8.13
noise: Squeak_299_1, start: 1582.1122 s end: 1595.6384 s, duration: 13.5261 s, snr: 8.18
noise: Squeak_28_2, start: 1598.2376 s end: 1602.6665 s, duration: 4.4289 s, snr: 4.33
