IS1005b, length = 2182.14 s, percent_of_speech = 0.87, percent_of_noises = 0.40
noise: Signalization_147_4, start: 1919.3717 s end: 1934.9019 s, duration: 15.5303 s, snr: 3.28
noise: Writing_46_4, start: 1962.4324 s end: 1986.6984 s, duration: 24.2660 s, snr: -1.00
noise: Tool_2552_0, start: 2014.2959 s end: 2018.8283 s, duration: 4.5324 s, snr: 8.78
noise: Telephone_106_4, start: 2017.0190 s end: 2021.7914 s, duration: 4.7724 s, snr: 6.92
noise: Babble_11_3, start: 2019.4358 s end: 2072.8708 s, duration: 53.4350 s, snr: 16.32
noise: Computer_506_0, start: 2028.2571 s end: 2034.5888 s, duration: 6.3317 s, snr: 7.54
noise: Door_1056_2, start: 2028.6972 s end: 2033.2786 s, duration: 4.5814 s, snr: 2.25
noise: Street_23_0, start: 2028.7939 s end: 2032.3339 s, duration: 3.5400 s, snr: 2.31
noise: Squeak_98_0, start: 2041.6608 s end: 2046.1931 s, duration: 4.5324 s, snr: 8.16
noise: Computer_426_3, start: 2058.1602 s end: 2072.4982 s, duration: 14.3380 s, snr: -0.41
