EN2009b, length = 2474.28 s, percent_of_speech = 0.87, percent_of_noises = 0.40
noise: Knock_499_4, start: 1490.0289 s end: 1494.4739 s, duration: 4.4450 s, snr: 2.80
noise: Squeak_80_4, start: 1516.0908 s end: 1529.6632 s, duration: 13.5724 s, snr: 6.23
noise: Telephone_815_0, start: 1556.8753 s end: 1578.7598 s, duration: 21.8845 s, snr: 4.37
noise: Scissors_32_2, start: 1583.0975 s end: 1610.0240 s, duration: 26.9265 s, snr: 9.27
noise: Telephone_579_3, start: 1612.5815 s end: 1633.0587 s, duration: 20.4772 s, snr: 5.82
noise: Knock_1456_2, start: 1636.3024 s end: 1640.9251 s, duration: 4.6227 s, snr: 6.52
noise: Computer_664_4, start: 1660.0342 s end: 1663.7442 s, duration: 3.7100 s, snr: 2.11
noise: Tool_3461_4, start: 1694.0826 s end: 1698.6126 s, duration: 4.5300 s, snr: 6.31
noise: Door_1045_3, start: 1737.7849 s end: 1743.7099 s, duration: 5.9250 s, snr: 5.32
noise: Street_145_2, start: 1785.8239 s end: 1796.3689 s, duration: 10.5450 s, snr: 10.59
noise: Signalization_60_3, start: 1808.1006 s end: 1811.6404 s, duration: 3.5397 s, snr: 3.72
noise: Babble_116_4, start: 1824.6140 s end: 1830.1594 s, duration: 5.5454 s, snr: 16.41
noise: Squeak_287_2, start: 1869.0657 s end: 1873.0785 s, duration: 4.0128 s, snr: 5.31
noise: Computer_757_4, start: 1880.6128 s end: 1884.2224 s, duration: 3.6096 s, snr: 7.18
noise: Drawer_151_2, start: 1912.0871 s end: 1918.7146 s, duration: 6.6275 s, snr: 1.54
noise: Scissors_78_0, start: 1968.3726 s end: 1997.2792 s, duration: 28.9066 s, snr: 6.98
noise: Telephone_307_2, start: 1969.2136 s end: 1974.1559 s, duration: 4.9422 s, snr: 7.57
noise: Street_1_4, start: 1999.3736 s end: 2021.9216 s, duration: 22.5480 s, snr: 2.44
noise: Computer_432_1, start: 2000.6170 s end: 2015.2576 s, duration: 14.6406 s, snr: 2.49
noise: Writing_220_2, start: 2002.4532 s end: 2022.9393 s, duration: 20.4861 s, snr: 3.48
noise: Telephone_788_1, start: 2008.1943 s end: 2014.7280 s, duration: 6.5338 s, snr: 4.69
noise: Door_827_0, start: 2014.1714 s end: 2018.6092 s, duration: 4.4378 s, snr: 6.26
noise: Writing_124_0, start: 2032.1248 s end: 2037.1791 s, duration: 5.0543 s, snr: 8.59
noise: Signalization_114_3, start: 2058.5294 s end: 2064.0656 s, duration: 5.5361 s, snr: 9.15
noise: Gunshot_95_2, start: 2072.9984 s end: 2080.4486 s, duration: 7.4502 s, snr: 3.60
noise: Telephone_434_3, start: 2078.8847 s end: 2112.2731 s, duration: 33.3884 s, snr: 0.62
noise: Tool_4185_2, start: 2093.0546 s end: 2098.7967 s, duration: 5.7421 s, snr: 2.76
noise: Drawer_21_3, start: 2116.3370 s end: 2120.1103 s, duration: 3.7733 s, snr: 8.35
noise: Scissors_3_3, start: 2137.0559 s end: 2141.5824 s, duration: 4.5265 s, snr: 8.32
noise: Telephone_456_3, start: 2158.2853 s end: 2161.8421 s, duration: 3.5567 s, snr: 5.62
noise: Street_113_2, start: 2186.1528 s end: 2191.6853 s, duration: 5.5325 s, snr: 11.77
noise: Writing_244_4, start: 2187.1137 s end: 2190.8068 s, duration: 3.6930 s, snr: 1.66
noise: Knock_598_2, start: 2199.7129 s end: 2204.8376 s, duration: 5.1246 s, snr: 3.33
noise: Knock_6_2, start: 2232.1125 s end: 2236.6210 s, duration: 4.5085 s, snr: 7.60
noise: Telephone_684_1, start: 2250.9821 s end: 2255.0028 s, duration: 4.0206 s, snr: 3.99
noise: Tool_2725_2, start: 2283.3640 s end: 2287.8900 s, duration: 4.5260 s, snr: 10.01
noise: Babble_67_3, start: 2320.3962 s end: 2325.9282 s, duration: 5.5320 s, snr: 13.70
noise: Telephone_288_0, start: 2334.3049 s end: 2352.3618 s, duration: 18.0569 s, snr: 0.34
noise: Computer_871_1, start: 2361.5754 s end: 2365.3060 s, duration: 3.7306 s, snr: 0.43
noise: Computer_841_4, start: 2368.4626 s end: 2371.8996 s, duration: 3.4370 s, snr: -1.00
noise: Street_22_2, start: 2385.2798 s end: 2388.8122 s, duration: 3.5325 s, snr: 8.56
noise: Scissors_30_1, start: 2387.1492 s end: 2399.9358 s, duration: 12.7865 s, snr: 0.13
noise: Signalization_67_1, start: 2415.0556 s end: 2418.5881 s, duration: 3.5325 s, snr: 1.27
noise: Street_84_4, start: 2422.1107 s end: 2427.6510 s, duration: 5.5403 s, snr: 10.47
noise: Computer_806_0, start: 2431.7659 s end: 2436.9461 s, duration: 5.1802 s, snr: 4.19
