IS1000b, length = 2343.77 s, percent_of_speech = 0.82, percent_of_noises = 0.44
noise: Signalization_84_4, start: 1972.3598 s end: 1977.8923 s, duration: 5.5325 s, snr: 8.70
noise: Telephone_8_0, start: 1977.6383 s end: 1990.3272 s, duration: 12.6889 s, snr: 3.92
noise: Scissors_64_2, start: 1977.7647 s end: 1990.1911 s, duration: 12.4264 s, snr: 8.82
noise: Street_91_1, start: 2001.4053 s end: 2006.9506 s, duration: 5.5454 s, snr: 2.20
noise: Street_29_1, start: 2001.4741 s end: 2005.0044 s, duration: 3.5303 s, snr: 3.60
noise: Tool_3164_2, start: 2017.6163 s end: 2023.0953 s, duration: 5.4790 s, snr: 3.07
noise: Telephone_789_4, start: 2021.9206 s end: 2025.6181 s, duration: 3.6975 s, snr: 8.52
noise: Door_445_2, start: 2051.8223 s end: 2058.1206 s, duration: 6.2984 s, snr: 6.30
noise: Signalization_69_1, start: 2065.4291 s end: 2068.9563 s, duration: 3.5271 s, snr: 5.15
noise: Door_4928_3, start: 2099.3752 s end: 2104.7123 s, duration: 5.3371 s, snr: 2.87
noise: Tool_2928_0, start: 2108.8837 s end: 2113.4115 s, duration: 4.5278 s, snr: 5.35
noise: Signalization_20_1, start: 2136.2564 s end: 2148.7876 s, duration: 12.5311 s, snr: 2.01
noise: Knock_374_2, start: 2146.4301 s end: 2150.3219 s, duration: 3.8919 s, snr: 8.55
noise: Computer_799_0, start: 2161.6086 s end: 2167.3661 s, duration: 5.7575 s, snr: 2.79
noise: Door_4598_2, start: 2169.7370 s end: 2175.7193 s, duration: 5.9823 s, snr: 10.14
noise: Computer_808_0, start: 2190.1096 s end: 2195.5916 s, duration: 5.4820 s, snr: 6.57
noise: Tool_3258_2, start: 2211.4858 s end: 2216.0178 s, duration: 4.5320 s, snr: 2.09
noise: Writing_109_2, start: 2216.8302 s end: 2225.2767 s, duration: 8.4465 s, snr: 2.32
noise: Computer_533_1, start: 2230.3942 s end: 2234.4852 s, duration: 4.0910 s, snr: 2.90
noise: Computer_1059_0, start: 2235.6692 s end: 2245.6907 s, duration: 10.0215 s, snr: 3.93
noise: Knock_1786_4, start: 2270.0073 s end: 2273.4279 s, duration: 3.4206 s, snr: -0.79
noise: Scissors_48_0, start: 2292.6112 s end: 2302.8583 s, duration: 10.2470 s, snr: 7.90
noise: Drawer_4_0, start: 2333.2736 s end: 2336.3528 s, duration: 3.0791 s, snr: 1.95
