EN2002b, length = 1786.85 s, percent_of_speech = 0.85, percent_of_noises = 0.48
noise: Drawer_157_0, start: 1180.2959 s end: 1190.2639 s, duration: 9.9680 s, snr: 2.94
noise: Drawer_21_1, start: 1194.6892 s end: 1198.4644 s, duration: 3.7753 s, snr: 4.16
noise: Scissors_0_3, start: 1245.6043 s end: 1255.0104 s, duration: 9.4061 s, snr: 5.30
noise: Knock_1581_4, start: 1266.9166 s end: 1272.1194 s, duration: 5.2027 s, snr: 6.48
noise: Telephone_403_1, start: 1275.8846 s end: 1286.0766 s, duration: 10.1920 s, snr: 4.89
noise: Knock_1357_2, start: 1278.3349 s end: 1282.7787 s, duration: 4.4437 s, snr: 1.02
noise: Computer_660_3, start: 1356.9862 s end: 1361.7104 s, duration: 4.7241 s, snr: 7.03
noise: Computer_793_4, start: 1373.4645 s end: 1379.3410 s, duration: 5.8765 s, snr: -1.00
noise: Computer_289_2, start: 1415.9144 s end: 1421.3319 s, duration: 5.4175 s, snr: 2.06
noise: Knock_135_0, start: 1420.6466 s end: 1432.0149 s, duration: 11.3682 s, snr: -1.00
noise: Computer_651_0, start: 1430.3571 s end: 1434.1643 s, duration: 3.8073 s, snr: 3.56
noise: Babble_161_4, start: 1444.6896 s end: 1455.2221 s, duration: 10.5325 s, snr: 11.98
noise: Squeak_124_1, start: 1446.0979 s end: 1452.9640 s, duration: 6.8661 s, snr: 0.12
noise: Door_2002_4, start: 1452.1338 s end: 1455.8216 s, duration: 3.6878 s, snr: 3.03
noise: Squeak_57_2, start: 1489.3411 s end: 1513.5678 s, duration: 24.2268 s, snr: 4.73
noise: Telephone_317_4, start: 1523.2626 s end: 1528.1966 s, duration: 4.9340 s, snr: 2.85
noise: Telephone_269_0, start: 1526.9259 s end: 1545.4610 s, duration: 18.5351 s, snr: 3.63
noise: Telephone_420_3, start: 1549.6016 s end: 1604.5996 s, duration: 54.9980 s, snr: 6.77
noise: Computer_501_3, start: 1551.2493 s end: 1556.3978 s, duration: 5.1485 s, snr: 8.91
noise: Squeak_129_4, start: 1563.7800 s end: 1572.1306 s, duration: 8.3506 s, snr: 9.21
noise: Telephone_238_2, start: 1587.9534 s end: 1618.7254 s, duration: 30.7720 s, snr: 1.66
noise: Writing_81_3, start: 1595.8131 s end: 1618.0391 s, duration: 22.2260 s, snr: 3.41
noise: Gunshot_60_1, start: 1599.0138 s end: 1603.0113 s, duration: 3.9975 s, snr: 5.93
noise: Drawer_109_2, start: 1644.6849 s end: 1648.3769 s, duration: 3.6920 s, snr: 7.84
noise: Babble_105_0, start: 1650.3134 s end: 1655.8588 s, duration: 5.5454 s, snr: 17.95
noise: Drawer_64_0, start: 1663.9504 s end: 1682.1778 s, duration: 18.2274 s, snr: 2.91
noise: Scissors_85_4, start: 1665.6916 s end: 1669.2583 s, duration: 3.5668 s, snr: 1.64
noise: Computer_1250_0, start: 1682.7277 s end: 1694.5954 s, duration: 11.8677 s, snr: 7.22
noise: Telephone_4_1, start: 1684.1727 s end: 1689.7251 s, duration: 5.5524 s, snr: 10.20
noise: Babble_91_1, start: 1689.9819 s end: 1695.5273 s, duration: 5.5454 s, snr: 13.20
noise: Knock_932_2, start: 1698.6050 s end: 1704.3200 s, duration: 5.7150 s, snr: 8.74
noise: Drawer_113_2, start: 1716.9163 s end: 1724.9424 s, duration: 8.0261 s, snr: 6.91
noise: Computer_318_1, start: 1724.0853 s end: 1727.9516 s, duration: 3.8664 s, snr: 8.22
noise: Door_1018_3, start: 1734.4270 s end: 1737.6960 s, duration: 3.2690 s, snr: 3.42
noise: Squeak_68_2, start: 1734.4523 s end: 1747.1441 s, duration: 12.6917 s, snr: 6.75
noise: Telephone_528_4, start: 1742.8986 s end: 1748.3459 s, duration: 5.4472 s, snr: 5.01
noise: Knock_1142_3, start: 1747.1196 s end: 1750.3447 s, duration: 3.2251 s, snr: -1.00
noise: Computer_875_2, start: 1747.8949 s end: 1752.8576 s, duration: 4.9628 s, snr: 5.55
noise: Scissors_41_2, start: 1752.0070 s end: 1761.9934 s, duration: 9.9864 s, snr: 1.44
noise: Street_75_1, start: 1754.4652 s end: 1759.9977 s, duration: 5.5325 s, snr: 6.36
noise: Knock_848_1, start: 1772.0230 s end: 1777.3008 s, duration: 5.2778 s, snr: 7.35
