ES2003d, length = 2351.03 s, percent_of_speech = 0.88, percent_of_noises = 0.48
noise: Gunshot_105_0, start: 2137.9106 s end: 2141.1560 s, duration: 3.2454 s, snr: 8.35
noise: Knock_1144_4, start: 2145.0966 s end: 2149.3332 s, duration: 4.2366 s, snr: 7.99
noise: Squeak_216_4, start: 2184.6815 s end: 2192.0889 s, duration: 7.4074 s, snr: 6.58
noise: Babble_130_0, start: 2205.9276 s end: 2216.4730 s, duration: 10.5454 s, snr: 13.10
noise: Squeak_283_2, start: 2213.0406 s end: 2233.0729 s, duration: 20.0324 s, snr: 3.06
noise: Signalization_0_4, start: 2232.9969 s end: 2247.7754 s, duration: 14.7785 s, snr: 3.91
noise: Telephone_478_2, start: 2269.0029 s end: 2282.5902 s, duration: 13.5873 s, snr: 0.07
noise: Scissors_36_0, start: 2272.8198 s end: 2286.9464 s, duration: 14.1266 s, snr: 0.18
noise: Writing_101_4, start: 2275.8877 s end: 2304.6144 s, duration: 28.7266 s, snr: 6.81
noise: Signalization_65_3, start: 2312.8366 s end: 2316.3641 s, duration: 3.5275 s, snr: 3.43
noise: Computer_913_4, start: 2335.7339 s end: 2340.7102 s, duration: 4.9762 s, snr: 7.04
