TS3005a, length = 1318.85 s, percent_of_speech = 0.76, percent_of_noises = 0.58
noise: Telephone_439_3, start: 840.7918 s end: 874.1798 s, duration: 33.3880 s, snr: 6.14
noise: Computer_420_1, start: 858.7724 s end: 877.9408 s, duration: 19.1684 s, snr: 3.67
noise: Knock_350_3, start: 885.6993 s end: 889.0711 s, duration: 3.3719 s, snr: 3.59
noise: Drawer_141_1, start: 907.4394 s end: 929.7269 s, duration: 22.2875 s, snr: 6.19
noise: Street_126_2, start: 909.2295 s end: 919.7620 s, duration: 10.5325 s, snr: 6.75
noise: Telephone_94_4, start: 929.7598 s end: 933.5769 s, duration: 3.8171 s, snr: 8.43
noise: Computer_905_3, start: 948.1852 s end: 952.4819 s, duration: 4.2967 s, snr: 2.12
noise: Signalization_59_4, start: 953.5031 s end: 957.0296 s, duration: 3.5265 s, snr: -1.00
noise: Telephone_326_3, start: 991.4724 s end: 1017.0362 s, duration: 25.5639 s, snr: 6.94
noise: Babble_156_4, start: 1001.2193 s end: 1011.7594 s, duration: 10.5401 s, snr: 17.52
noise: Street_60_0, start: 1029.3399 s end: 1032.8689 s, duration: 3.5290 s, snr: -1.00
noise: Telephone_355_4, start: 1040.8073 s end: 1044.5101 s, duration: 3.7027 s, snr: -0.13
noise: Knock_1511_0, start: 1053.3496 s end: 1058.9088 s, duration: 5.5593 s, snr: 0.65
noise: Telephone_105_3, start: 1056.3847 s end: 1062.2869 s, duration: 5.9023 s, snr: 1.84
noise: Street_8_3, start: 1056.8577 s end: 1087.3926 s, duration: 30.5349 s, snr: 5.31
noise: Computer_31_0, start: 1064.5555 s end: 1070.8431 s, duration: 6.2876 s, snr: 0.07
noise: Signalization_25_4, start: 1069.1468 s end: 1072.6919 s, duration: 3.5451 s, snr: -0.53
noise: Scissors_21_1, start: 1070.6464 s end: 1080.1141 s, duration: 9.4678 s, snr: 6.89
noise: Scissors_81_2, start: 1086.5452 s end: 1107.7534 s, duration: 21.2081 s, snr: 3.87
noise: Door_1544_2, start: 1088.0687 s end: 1091.4047 s, duration: 3.3360 s, snr: 8.82
noise: Knock_1843_0, start: 1088.9608 s end: 1093.0426 s, duration: 4.0818 s, snr: 5.78
noise: Computer_119_0, start: 1110.7558 s end: 1118.9621 s, duration: 8.2062 s, snr: 3.41
noise: Telephone_826_2, start: 1147.9019 s end: 1156.1096 s, duration: 8.2078 s, snr: 7.18
noise: Drawer_110_4, start: 1148.3419 s end: 1161.3879 s, duration: 13.0460 s, snr: 9.06
noise: Computer_92_4, start: 1153.3318 s end: 1181.1779 s, duration: 27.8461 s, snr: -0.01
noise: Telephone_0_3, start: 1168.1752 s end: 1178.4416 s, duration: 10.2664 s, snr: 3.61
noise: Writing_251_3, start: 1171.5967 s end: 1175.9431 s, duration: 4.3464 s, snr: 0.76
noise: Computer_481_1, start: 1183.8076 s end: 1193.8757 s, duration: 10.0681 s, snr: 4.42
noise: Gunshot_12_2, start: 1187.0998 s end: 1191.3452 s, duration: 4.2454 s, snr: 10.04
noise: Squeak_75_3, start: 1196.1092 s end: 1199.8312 s, duration: 3.7220 s, snr: 4.02
noise: Telephone_542_3, start: 1201.5510 s end: 1209.6505 s, duration: 8.0995 s, snr: 9.38
noise: Telephone_105_3, start: 1223.8708 s end: 1229.7730 s, duration: 5.9022 s, snr: 4.99
noise: Writing_36_3, start: 1226.7286 s end: 1238.8950 s, duration: 12.1664 s, snr: 4.75
noise: Writing_223_1, start: 1283.5989 s end: 1289.4129 s, duration: 5.8140 s, snr: 5.51
noise: Writing_18_4, start: 1310.1676 s end: 1313.8736 s, duration: 3.7060 s, snr: 5.05
noise: Computer_591_1, start: 1310.3622 s end: 1315.8368 s, duration: 5.4746 s, snr: 3.72
